ngay,ngay_thu,dacbiet,giainhat,giainhi_0,giainhi_1,giaiba_0,giaiba_1,giaiba_2,giaiba_3,giaiba_4,giaiba_5,giaitu_0,giaitu_1,giaitu_2,giaitu_3,giainam_0,giainam_1,giainam_2,giainam_3,giainam_4,giainam_5,giaisau_0,giaisau_1,giaisau_2,giaibay_0,giaibay_1,giaibay_2,giaibay_3
20020419,5,45658,33819,02565,50537,14953,36781,05396,36943,34597,1453,1453,1845,9053, ,5978,3759,5187,1195, , ,933,749,795,88,19,73,84
20020420,6,26478,23706,47414,82358,15512,81576,66430,14225,06387,4574,4574,7655,5540, ,0892,5604,1136,9799, , ,719,481,158,18,67,65,20
20020421,0,31686,17831,84117,63724,85259,51613,44780,28548,51589,0211,0211,5450,9202, ,4160,5966,2502,7832, , ,733,599,769,13,77,62,68
20020422,1,34906,16402,34902,87232,47665,91358,22427,41194,97457,6599,6599,7813,5761, ,1638,3815,6489,4476, , ,486,067,054,11,95,02,14
20020423,2,37479,17066,58972,65532,75120,98575,63166,04717,03930,6556,6556,1850,6427, ,6809,7048,0694,7383, , ,738,769,431,15,75,73,53
20020424,3,64900,96531,25352,90879,34995,19799,11855,15764,03185,7990,7990,4056,9166, ,7072,1974,7787,8431, , ,970,041,328,86,16,33,08
20020425,4,10269,23314,22200,98780,29014,36629,79199,96984,72608,6833,6833,6678,6969, ,7930,7819,6617,3226, , ,612,752,052,49,62,71,23
20020426,5,14173,87385,94904,35421,68266,42897,33074,86532,18875,9359,9359,9768,3578, ,7346,5422,8131,9540, , ,968,160,994,83,94,92,75
20020427,6,32522,78719,96830,85636,86002,22982,55551,71100,67175,3687,3687,2766,6757, ,9045,1009,6158,2796, , ,263,683,035,58,82,31,47
20020428,0,33617,42653,36381,07448,74281,65764,94820,37879,77541,0729,0729,5402,7955, ,3514,4702,7203,2321, , ,486,200,640,01,68,93,99
20020429,1,87401,79884,44022,76482,41490,48370,71212,91984,96241,1771,1771,8158,1368, ,4042,8781,4405,5773, , ,683,205,623,71,41,52,87
20020430,2,25716,17982,70354,88335,61483,47990,45457,71025,13131,1256,1256,0454,4220, ,8985,6593,2498,7833, , ,167,060,518,04,05,68,22
20020501,3,68113,02368,82196,20184,30338,06356,62108,50896,89744,2601,2601,3384,5442, ,5879,0464,0917,3353, , ,023,613,771,94,60,84,74
20020502,4,94558,99013,56411,55962,36100,77432,69202,56956,24564,1768,1768,3618,4454, ,7797,6807,7821,0194, , ,923,285,157,38,33,90,74
20020503,5,48476,06947,76359,82494,35697,72027,45687,65464,48676,3145,3145,3685,3106, ,5069,9556,1677,5512, , ,531,498,386,06,85,66,86
20020504,6,68735,80195,90754,21105,49942,82628,02936,48807,53821,9356,9356,0733,8452, ,5580,2977,0778,4322, , ,116,157,213,36,67,69,99
20020505,0,51816,08267,11648,44939,47535,26976,29350,86600,00052,6843,6843,3471,6044, ,9072,9617,5673,2557, , ,887,433,167,28,55,08,70
20020506,1,72286,94947,24781,27694,81728,41736,26356,69816,50358,2337,2337,6585,4951, ,0576,9808,0169,3526, , ,345,594,131,46,97,80,23
20020507,2,71934,77388,02138,69543,00862,47325,71049,96383,73383,7275,7275,7815,7575, ,6091,4248,2206,7637, , ,741,682,270,21,01,64,98
20020508,3,42319,30779,07853,83625,72668,30769,99943,13013,00160,1235,1235,2806,0994, ,2470,8130,3715,7044, , ,923,418,352,02,07,83,67
20020509,4,10713,82040,13744,33591,20356,86924,06098,76181,35557,1073,1073,7086,2921, ,6928,1216,5055,4580, , ,299,563,634,68,96,42,17
20020510,5,85828,49638,35524,20348,78598,15896,72080,23480,24241,6239,6239,7733,1934, ,0707,4008,8137,0043, , ,533,715,876,09,80,72,86
20020511,6,72413,10793,61958,36013,88180,17159,19812,31656,33166,4002,4002,1742,3677, ,2299,1892,6823,0268, , ,303,573,844,80,74,14,17
20020512,0,01779,97387,00498,26324,99150,30278,53859,26317,43276,9957,9957,5707,9504, ,5898,8586,0362,4081, , ,921,707,672,61,53,42,70
20020513,1,42037,41442,13582,09204,74119,76655,53727,15430,92763,4872,4872,8415,7416, ,8630,4517,9019,5330, , ,462,309,790,50,57,20,60
20020514,2,36530,93026,81132,01843,67842,21082,59702,66805,00629,5757,5757,3812,5092, ,4536,8980,6821,9050, , ,508,035,998,65,64,47,67
20020515,3,91904,63540,45475,40004,52841,40468,95408,33382,83825,8003,8003,8424,7468, ,9350,2829,7655,3114, , ,427,410,707,37,00,30,07
20020516,4,81546,36225,32761,67824,02030,87580,47611,43099,22863,1563,1563,3861,8209, ,8159,2552,6763,7619, , ,129,786,874,39,94,46,24
20020517,5,03547,44355,37842,05915,65769,65982,72693,23945,29612,6006,6006,6181,4047, ,9158,1025,0234,4532, , ,038,484,447,35,70,48,78
20020518,6,82127,86810,32542,06262,95716,43924,14777,00563,65901,6853,6853,6488,8619, ,4764,1928,6257,1627, , ,747,399,832,18,19,88,13
20020519,0,22739,90509,95144,97480,07361,11586,83462,82158,61996,3821,3821,7128,0642, ,0575,6680,1175,1702, , ,212,491,922,51,46,84,83
20020520,1,08920,56109,58502,04263,61026,35578,62027,47492,78347,4988,4988,6298,4262, ,9513,2538,5021,6250, , ,229,446,734,92,18,19,79
20020521,2,57348,41017,99525,89044,07546,74796,40286,51065,87733,2466,2466,4900,1082, ,2747,9671,2216,3794, , ,127,029,140,72,42,08,45
20020522,3,24978,16231,60349,70123,58410,22974,17433,77607,39588,3892,3892,8932,1794, ,7014,0820,6355,4161, , ,901,860,330,36,12,28,21
20020523,4,22179,05229,74208,04234,37227,53486,05438,66242,40077,4249,4249,2727,9725, ,3050,8061,0651,3295, , ,709,851,869,84,37,21,04
20020524,5,01487,99383,68534,04965,76425,03175,65027,89455,51183,0005,0005,4110,7610, ,7932,7893,7266,5080, , ,358,887,113,13,44,59,50
20020525,6,74486,17831,16812,82496,34250,23715,09950,31318,75549,6922,6922,5394,5225, ,7787,4659,9878,2236, , ,169,727,225,93,88,82,28
20020526,0,63002,89584,00360,39055,59417,81555,46131,50080,74664,9397,9397,5237,8156, ,4156,8048,4510,8148, , ,320,815,436,23,47,57,16
20020527,1,60936,14883,64801,20347,01970,81403,70281,63352,32517,9363,9363,3476,8805, ,9060,8886,1016,1212, , ,879,201,347,90,67,79,47
20020528,2,59531,48542,14224,99887,09408,39841,18270,52113,60600,5929,5929,3583,9246, ,1370,6589,2020,7728, , ,438,395,786,53,92,31,75
20020529,3,89385,82293,10400,87705,31750,92955,11934,26040,77747,4244,4244,3521,6797, ,5030,6483,8115,3147, , ,088,656,067,11,60,49,82
20020530,4,08264,22055,14247,75401,22810,83518,77256,12436,33395,3555,3555,7411,5964, ,5638,6853,4218,4486, , ,955,341,029,25,91,73,11
20020531,5,88712,94115,65216,11279,81907,64920,19822,78919,04299,2564,2564,1705,1475, ,9367,6003,9222,4233, , ,437,964,188,67,69,35,83
20020601,6,67046,13876,15809,16431,55306,07969,23707,36663,13781,5226,5226,0369,0947, ,6126,9847,8022,9997, , ,803,281,206,22,91,34,62
20020602,0,96749,30830,43634,98231,64922,59913,27933,80625,76583,7105,7105,4167,1998, ,9979,1053,4574,8941, , ,068,568,780,54,51,23,75
20020603,1,26575,23723,15308,96642,56574,84797,02439,47481,70662,9761,9761,9950,9229, ,9746,1820,1297,8184, , ,124,016,616,05,95,20,25
20020604,2,33643,48035,95138,60130,91112,58197,69265,65904,59357,0629,0629,7824,1710, ,1966,1150,7353,2979, , ,912,428,038,60,24,00,36
20020605,3,23644,26405,57061,24541,95139,71229,88569,22625,59730,3377,3377,3161,9409, ,5251,0845,3263,1457, , ,545,872,035,61,71,79,23
20020606,4,51907,08003,50515,50830,19672,23492,24181,94587,49126,3729,3729,6393,0898, ,9272,9110,2750,9311, , ,086,732,734,09,06,55,00
20020607,5,97940,19047,79306,97136,75836,80819,86484,11127,69730,3899,3899,1509,8168, ,0163,4506,5207,0762, , ,339,917,729,16,76,59,38
20020608,6,55066,24821,72600,07589,80040,90759,79266,34444,16037,6611,6611,3811,3068, ,7712,5876,2161,5201, , ,114,197,631,31,50,20,42
20020609,0,96880,59225,04101,89345,52632,82863,12699,15021,57593,6158,6158,6290,5455, ,4959,8907,0640,2769, , ,860,816,599,35,98,52,03
20020610,1,20473,86037,18413,92281,59244,52966,69473,10074,16418,9515,9515,9495,6895, ,1202,1751,6673,7055, , ,497,825,977,65,47,73,64
20020611,2,32822,73820,89003,73391,95870,85717,26117,45003,86401,5482,5482,3866,9995, ,9362,8924,6235,4789, , ,301,867,502,02,52,19,41
20020612,3,43057,74861,70911,04528,85528,27861,89546,78164,93167,5291,5291,9908,6542, ,9158,0238,2979,2650, , ,377,309,823,98,17,15,10
20020613,4,77495,94666,16322,81522,67618,50642,32101,38247,84647,5442,5442,4725,1806, ,3111,3099,5105,9703, , ,247,241,972,42,26,58,29
20020614,5,57229,29377,19869,02193,65508,14773,73263,49959,78415,2792,2792,5780,1554, ,0587,0815,0750,5487, , ,926,221,963,35,98,89,75
20020615,6,90610,45916,19346,54220,89730,53044,37002,08322,59537,3209,3209,6174,2221, ,2727,5856,8353,9530, , ,836,246,657,96,70,15,13
20020616,0,76549,24390,06176,38943,83060,34709,45331,77009,99454,7120,7120,9661,1479, ,4812,4549,7197,3166, , ,115,731,345,44,89,11,60
20020617,1,10149,51322,20027,62105,75867,78962,47292,24114,78890,8319,8319,2700,8563, ,7247,3484,2267,8757, , ,580,565,079,71,64,96,24
20020618,2,53920,97303,90380,67959,38274,50572,15076,60307,77927,1295,1295,9917,7685, ,5240,0435,1261,4043, , ,069,997,703,66,10,59,43
20020619,3,91721,17797,89713,51732,72873,35973,40185,92738,77185,4544,4544,2765,3965, ,1707,4900,3622,6615, , ,811,123,002,78,05,59,02
20020620,4,96682,58799,11389,85906,36151,01243,91274,87599,86258,5036,5036,4928,1205, ,5597,9251,6468,1103, , ,554,506,929,67,69,80,89
20020621,5,12773,11471,01515,47009,71323,63937,43136,85972,86909,2153,2153,6240,4709, ,9543,7596,8449,6086, , ,395,556,029,52,67,37,38
20020622,6,42703,07595,02651,21003,41775,90873,47483,45391,48498,7415,7415,4776,8410, ,4442,7948,3916,6179, , ,110,506,075,91,03,66,55
20020623,0,02617,15095,41447,30927,41245,73340,60273,63258,91741,4273,4273,3838,2450, ,7724,3687,8502,8471, , ,193,606,401,86,96,33,58
20020624,1,26628,16847,10991,90027,10296,36449,80803,07820,14716,9592,9592,7000,9413, ,4952,7686,3530,6715, , ,378,966,365,77,63,26,15
20020625,2,36683,57177,39382,11762,30434,90992,26033,11623,32021,0799,0799,4798,0870, ,5862,6070,6950,9023, , ,326,698,438,67,93,40,88
20020626,3,46667,58972,28610,94394,54430,60404,72287,54713,49372,5854,5854,8334,8051, ,4413,3913,0708,3358, , ,429,980,938,71,12,64,55
20020627,4,00128,27132,24595,85067,34908,66334,28052,51090,85787,3123,3123,9693,4379, ,4460,9596,6481,7145, , ,431,886,230,01,63,35,31
20020628,5,54678,45674,19622,38350,28833,36025,20247,69343,57677,2552,2552,2130,5025, ,8505,4432,7091,0425, , ,275,523,715,34,91,62,28
20020629,6,09091,75517,55557,87148,15064,30006,77509,27590,94901,5133,5133,2246,4628, ,7506,4927,4805,6891, , ,729,143,319,63,81,60,73
