gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,kq_0,kq_1,kq_2,kq_3,kq_4,kq_5,kq_6,kq_7,kq_8,kq_9,kq_10,kq_11,kq_12,kq_13,kq_14,kq_15,kq_16,kq_17,kq_18,kq_19,kq_20,kq_21,kq_22,kq_23,kq_24,kq_25,kq_26
33106,68558,95319,37969,46575,05988,96823,95657,09308,0180,0180,9928,6269,6988,7042,7253,4949,0845,9136,9998,196,283,211,38,48,57,13,12477,25140,32082,38254,85948,64535,71103,74371,35696,0772,0772,2839,7686,6928,1375,2428,7635,5308,8616,3919,862,830,017,96,06,05,56,42218,97409,80708,87848,42931,04719,11546,07226,87897,2082,2082,5195,0509,6892,4871,8764,1740,2120,9463,3620,069,680,724,93,83,36,35
12477,25140,32082,38254,85948,64535,71103,74371,35696,0772,0772,2839,7686,6928,1375,2428,7635,5308,8616,3919,862,830,017,96,06,05,56,07621,05025,10429,05565,21580,09100,95647,56382,48936,1204,1204,4706,1079,9521,0656,2330,9607,7129,2392,7401,814,846,771,38,75,93,15,27098,63328,32744,12001,00322,10229,48263,33386,52781,3741,3741,7651,7630,6720,4430,8322,3543,2184,7816,0291,916,907,115,80,92,41,29
07621,05025,10429,05565,21580,09100,95647,56382,48936,1204,1204,4706,1079,9521,0656,2330,9607,7129,2392,7401,814,846,771,38,75,93,15,42218,97409,80708,87848,42931,04719,11546,07226,87897,2082,2082,5195,0509,6892,4871,8764,1740,2120,9463,3620,069,680,724,93,83,36,35,35710,18511,92943,85090,78619,68773,96547,02497,29455,5321,5321,0292,5611,0633,0987,2214,3037,1969,5095,3173,528,180,960,73,65,80,76
42218,97409,80708,87848,42931,04719,11546,07226,87897,2082,2082,5195,0509,6892,4871,8764,1740,2120,9463,3620,069,680,724,93,83,36,35,27098,63328,32744,12001,00322,10229,48263,33386,52781,3741,3741,7651,7630,6720,4430,8322,3543,2184,7816,0291,916,907,115,80,92,41,29,12647,52733,23979,75591,84033,40931,56623,94351,96904,7870,7870,8217,3844,8764,0436,1306,5668,4991,5868,3438,748,390,648,37,45,62,28
27098,63328,32744,12001,00322,10229,48263,33386,52781,3741,3741,7651,7630,6720,4430,8322,3543,2184,7816,0291,916,907,115,80,92,41,29,35710,18511,92943,85090,78619,68773,96547,02497,29455,5321,5321,0292,5611,0633,0987,2214,3037,1969,5095,3173,528,180,960,73,65,80,76,57263,61787,68629,14871,46578,06518,16328,12270,15120,1339,1339,1955,2486,8021,4251,8421,0404,8922,3939,1517,841,962,111,22,08,63,44
35710,18511,92943,85090,78619,68773,96547,02497,29455,5321,5321,0292,5611,0633,0987,2214,3037,1969,5095,3173,528,180,960,73,65,80,76,12647,52733,23979,75591,84033,40931,56623,94351,96904,7870,7870,8217,3844,8764,0436,1306,5668,4991,5868,3438,748,390,648,37,45,62,28,86514,21428,64144,23316,53569,23129,88443,70873,46218,9161,9161,3996,9753,0779,1587,2480,3310,0563,4808,2427,424,389,961,05,02,94,62
12647,52733,23979,75591,84033,40931,56623,94351,96904,7870,7870,8217,3844,8764,0436,1306,5668,4991,5868,3438,748,390,648,37,45,62,28,57263,61787,68629,14871,46578,06518,16328,12270,15120,1339,1339,1955,2486,8021,4251,8421,0404,8922,3939,1517,841,962,111,22,08,63,44,65907,47965,59712,87030,64802,07731,94793,19606,64844,0512,0512,0076,6599,9639,9473,0273,3751,5527,9243,4486,568,271,732,06,87,63,33
57263,61787,68629,14871,46578,06518,16328,12270,15120,1339,1339,1955,2486,8021,4251,8421,0404,8922,3939,1517,841,962,111,22,08,63,44,86514,21428,64144,23316,53569,23129,88443,70873,46218,9161,9161,3996,9753,0779,1587,2480,3310,0563,4808,2427,424,389,961,05,02,94,62,89241,84871,47604,54393,47004,23271,01882,31466,86852,9072,9072,6490,6134,0265,0364,5391,1529,4748,0351,4195,823,129,286,81,34,67,78
86514,21428,64144,23316,53569,23129,88443,70873,46218,9161,9161,3996,9753,0779,1587,2480,3310,0563,4808,2427,424,389,961,05,02,94,62,65907,47965,59712,87030,64802,07731,94793,19606,64844,0512,0512,0076,6599,9639,9473,0273,3751,5527,9243,4486,568,271,732,06,87,63,33,47279,03054,24772,65995,88541,06040,01661,22669,53731,7988,7988,1320,5317,4301,7002,0452,4400,8217,7052,4518,290,384,984,08,91,59,31
65907,47965,59712,87030,64802,07731,94793,19606,64844,0512,0512,0076,6599,9639,9473,0273,3751,5527,9243,4486,568,271,732,06,87,63,33,89241,84871,47604,54393,47004,23271,01882,31466,86852,9072,9072,6490,6134,0265,0364,5391,1529,4748,0351,4195,823,129,286,81,34,67,78,71607,65767,82539,27422,15534,95529,62735,12168,74396,5125,5125,7581,6092,9236,2969,8331,2640,1562,7619,6164,195,155,702,64,98,90,30
